trainingAccuracy,testAccuracy
93.59999895095825,80.26999831199646
94.67750191688538,79.1599988937378
95.82750201225281,78.6300003528595
95.67750096321106,79.25000190734863
94.6399986743927,78.89999747276306
95.76249718666077,79.04999852180481
94.12500262260437,80.0599992275238
95.4925000667572,79.90999817848206
95.54499983787537,79.29999828338623
95.76749801635742,78.329998254776
95.82250118255615,79.00999784469604
95.77999711036682,78.9900004863739
96.3100016117096,78.65999937057495
96.3100016117096,79.03000116348267
94.01249885559082,80.21000027656555
94.4100022315979,80.04000186920166
93.44000220298767,80.12999892234802
95.28499841690063,78.82000207901001
94.83749866485596,79.40999865531921
93.66750121116638,80.14000058174133
93.45250129699707,79.67000007629395
95.1924979686737,79.72999811172485
95.09000182151794,79.57000136375427
95.30500173568726,78.86999845504761
96.01500034332275,78.57999801635742
94.78750228881836,79.60000038146973
96.20000123977661,79.26999926567078
96.26250267028809,79.12999987602234
95.51500082015991,78.6899983882904
92.25249886512756,78.53000164031982
95.8299994468689,79.01999950408936
95.89750170707703,78.75000238418579
96.46750092506409,78.86000275611877
96.14750146865845,78.75999808311462
94.12500262260437,79.10000085830688
96.27749919891357,78.86999845504761
96.28000259399414,78.39000225067139
96.73749804496765,78.68000268936157
96.74999713897705,78.75999808311462
94.45750117301941,80.08000254631042
93.5824990272522,80.59999942779541
94.27250027656555,79.78000044822693
94.75250244140625,79.6999990940094
95.0950026512146,79.68999743461609
95.08249759674072,79.10000085830688
94.82499957084656,79.6999990940094
95.23000121116638,79.55999970436096
94.9400007724762,79.8799991607666
96.12749814987183,79.12999987602234
96.27500176429749,78.88000011444092
95.73749899864197,79.26999926567078
96.22499942779541,78.75000238418579
96.17499709129333,79.21000123023987
96.5399980545044,79.14999723434448
94.57749724388123,79.04999852180481
95.88500261306763,78.68000268936157
95.94749808311462,78.13000082969666
96.32499814033508,78.20000052452087
97.0674991607666,77.34000086784363
95.20249962806702,79.40000295639038
96.5250015258789,78.47999930381775
96.30249738693237,78.65999937057495
96.117502450943,78.86999845504761
96.95000052452087,78.329998254776
92.29000210762024,79.90000247955322
94.49750185012817,79.6500027179718
94.14499998092651,80.54999709129333
94.25749778747559,79.25000190734863
94.42750215530396,79.57000136375427
93.89749765396118,80.46000003814697
92.54249930381775,80.69000244140625
94.37999725341797,79.79999780654907
94.50500011444092,80.08999824523926
94.62249875068665,79.72999811172485
93.94999742507935,80.01999855041504
93.39249730110168,80.33999800682068
94.49499845504761,79.96000051498413
94.2300021648407,79.80999946594238
93.52250099182129,79.54999804496765
91.97750091552734,79.72999811172485
93.3650016784668,79.93000149726868
94.15249824523926,80.15999794006348
95.70000171661377,79.26999926567078
96.27000093460083,78.75000238418579
93.73000264167786,79.83999848365784
94.90749835968018,79.65999841690063
95.08249759674072,78.74000072479248
92.89500117301941,80.86000084877014
95.6125020980835,79.83999848365784
93.77999901771545,80.27999997138977
93.7874972820282,80.08999824523926
93.86749863624573,80.26999831199646
94.23750042915344,80.08999824523926
94.47000026702881,79.22000288963318
93.78499984741211,79.6500027179718
94.67999935150146,79.61999773979187
94.78750228881836,79.43000197410583
94.86500024795532,79.91999983787537
95.56499719619751,79.04999852180481
95.34249901771545,79.30999994277954
95.02249956130981,79.14000153541565
95.8525002002716,78.82999777793884
95.1924979686737,79.75000143051147
95.57499885559082,78.54999899864197
94.37500238418579,79.86000180244446
94.65000033378601,79.50999736785889
95.38750052452087,78.86999845504761
95.49000263214111,79.50999736785889
95.83749771118164,78.43999862670898
95.02999782562256,79.18999791145325
95.32250165939331,79.2900025844574
95.41249871253967,79.03000116348267
95.12500166893005,79.71000075340271
96.5125024318695,78.76999974250793
94.04249787330627,80.46000003814697
94.05500292778015,79.55999970436096
94.74999904632568,79.55999970436096
94.0500020980835,80.0499975681305
94.90749835968018,79.68999743461609
94.4599986076355,79.49000000953674
94.86749768257141,79.6500027179718
94.52499747276306,79.07999753952026
95.31000256538391,79.28000092506409
94.51249837875366,79.86999750137329
95.01500129699707,78.92000079154968
94.6274995803833,80.19000291824341
94.61749792098999,79.60000038146973
96.13249897956848,78.8100004196167
95.88500261306763,79.50999736785889
95.74999809265137,79.54999804496765
94.63250041007996,78.74000072479248
95.6375002861023,78.51999998092651
95.9850013256073,79.43999767303467
95.28499841690063,78.60000133514404
94.45250034332275,79.80999946594238
95.60999870300293,79.1700005531311
95.8549976348877,78.82000207901001
96.23749852180481,78.82000207901001
96.21999859809875,78.86000275611877
94.87249851226807,79.64000105857849
94.6025013923645,79.339998960495
95.04250288009644,79.22999858856201
94.95750069618225,79.43999767303467
93.95750164985657,79.50000166893005
95.19000053405762,78.88000011444092
94.35250163078308,80.08999824523926
95.4200029373169,79.75999712944031
95.81000208854675,79.11999821662903
93.88499855995178,79.80999946594238
95.54250240325928,79.25999760627747
96.24500274658203,78.5099983215332
96.08749747276306,79.03000116348267
95.84500193595886,78.4500002861023
95.46999931335449,79.1100025177002
96.03999853134155,78.1499981880188
95.65500020980835,79.07999753952026
94.24750208854675,78.92000079154968
96.41500115394592,78.43000292778015
96.48749828338623,78.4500002861023
95.4450011253357,79.339998960495
95.66749930381775,79.36999797821045
96.2149977684021,78.65999937057495
95.75499892234802,78.68000268936157
96.00250124931335,78.39000225067139
94.65749859809875,79.86999750137329
93.76000165939331,80.11000156402588
94.19999718666077,79.1700005531311
95.07499933242798,78.93999814987183
95.44000029563904,79.1599988937378
